Ocean,Water Density(kg/m^3),DMHg,Hg0,MMHg,THg
Undercurrent,1027.3433,2,35.92,73.52,0.9777
Undercurrent,1027.0632,331.62,113.66,55.71,0.9431
Undercurrent,1026.6371,119.45,84.96,41.82,0.9343
Undercurrent,1026.3954,47.22,137.01,47.22,0.9325
Undercurrent,1025.9899,143.11,64.91,26.17,0.22
Undercurrent,1025.8535,95.94,55.34,20.36,0.8542
Undercurrent,1025.7141,50.38,42.88,24.01,0.6576
Undercurrent,NA,114.15,119.63,77.9,0.7984
Undercurrent,NA,226.76,73.89,79.59,0.6558
Undercurrent,NA,266.56,23.7,47.37,0.8804
Undercurrent,NA,338.18,43.58,46.11,1.1317
Undercurrent,NA,147.78,46.06,38.58,1.1615
Undercurrent,NA,77.89,49.43,33.77,0.7353
Undercurrent,NA,149.07,21.48,23.76,0.5851
Undercurrent,NA,95.49,22.8,17.86,0.877
Undercurrent,NA,74.87,23.41,61.37,0.5475
Undercurrent,NA,32.12,35.37,42.9,0.5138
Undercurrent,NA,30.25,7.56,48.17,0.6548
Undercurrent,NA,63.59,30.77,45.71,0.6227
Undercurrent,NA,38.93,4,27.93,0.7744
Undercurrent,NA,165.11,4,48.34,0.9131
Undercurrent,NA,35.71,4,31.71,0.8144
Undercurrent,NA,50.55,67.75,11.34,0.541
Undercurrent,NA,83.87,19.47,17.01,0.5237
Undercurrent,NA,21.82,54.76,34.15,0.6182
Undercurrent,NA,15.81,4,27.79,0.4877
Undercurrent,NA,14.47,26.15,36.76,0.4856
Undercurrent,NA,119.9,74.52,33.13,0.6292
Undercurrent,NA,31.26,4,33.06,0.5204
Undercurrent,NA,133.93,119.2,45.25,0.4539
Undercurrent,NA,118.69,106.5,31.73,0.4067
Undercurrent,NA,2,52.41,25.52,0.3385
Undercurrent,NA,2,49.97,14.57,0.348
Undercurrent,NA,38.88,72.19,20.26,0.3402
Undercurrent,NA,32.74,44.32,26.8,0.2432
Undercurrent,1027.4172,74.75,117.06,62.06,0.7612
Undercurrent,1027.075,309.11,136.3,35.12,0.6389
Undercurrent,1026.9093,146.41,45.84,24.19,0.9027
Undercurrent,1026.6772,194.98,125.13,19.29,0.9668
Undercurrent,1026.4616,70.2,111.73,36.99,0.4583
Undercurrent,1026.1225,75.09,148.27,12.15,0.4537
Undercurrent,1025.8614,2,4,18.35,0.3913
Undercurrent,1025.6883,20.44,28.33,25,0.3321
Undercurrent,1025.2396,38.03,53.26,22.09,0.5936
Undercurrent,1024.7087,31.31,77.59,29.81,0.4196
Undercurrent,1029.8215,318.61,74.38,70.37,0.8182
Undercurrent,1029.2482,108.62,95.2,81.62,0.8054
Undercurrent,1028.6724,94.75,89.26,73.78,0.7435
Undercurrent,1028.0922,192,129.43,28.14,0.6978
Undercurrent,1027.4288,51.91,60.14,29.12,0.5046
Undercurrent,1026.591,2,159.99,26.77,0.5509
Undercurrent,1026.4003,143.46,151.77,27.72,0.5349
Undercurrent,1026.0857,82.07,78.06,17.3,0.5482
Undercurrent,1025.686,155.43,27.37,11.48,0.5972
Undercurrent,1025.8862,160.13,43.17,53.56,0.5872
Undercurrent,1027.425,349.01,120.95,38,0.7729
Undercurrent,1027.2601,461.62,81.14,32.02,0.6239
Undercurrent,1027.0928,165.21,106.96,37.56,0.6103
Undercurrent,1026.821,122.18,124.45,18.03,0.459
