"","EII","VII","EEI","VEI","EVI","VVI","EEE","VEE","EVE","VVE","EEV","VEV","EVV","VVV"
"BIC_g=1",4885.54084542801,4885.54084542801,4878.72114828975,4878.72114828975,4878.72114828975,4878.72114828975,4858.45939149679,4858.45939149679,4858.45939149679,4858.45939149679,4858.45939149679,4858.45939149679,4858.45939149679,4858.45939305918
"freq_=g=1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIC_g=2",4971.15409126721,4969.37717651551,4957.40994024092,4961.49557731246,4959.84445677452,4961.2840858257,4727.69525831641,4730.75423685474,4711.79297644156,4711.29445817281,4723.31359684172,4726.25384477103,4708.38890197848,4708.76383947406
"freq_=g=2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIC_g=3",4851.04834925171,4844.80672067901,4856.73628284016,4850.70877426009,4867.8597737356,4861.76910712013,4704.59453002122,4673.48434923246,4715.09751527349,4666.44704677473,4713.58757966071,4681.1163050139,4724.29003147894,4675.15420370492
"freq_=g=3",0,0,0,0,0,0,0,20,0,77,0,1,0,0
"BIC_g=4",4853.54053997824,4843.50472653717,4860.09790843267,4851.18237138589,4875.24583360851,4863.36810861111,4725.50641039273,4699.68895731747,4760.91618006382,4720.30721870575,4735.5323886873,4707.41081322827,4749.22870082137,4702.92198688175
"freq_=g=4",0,0,0,0,0,0,0,0,0,1,1,0,0,0
"BIC_g=5",4851.48536200033,4847.06466795324,4858.08029100348,4858.94612642626,4876.09802826848,4869.60782448427,4744.51877973005,4729.06759827373,4779.67765673636,4753.24774111711,4751.4796824629,4736.42372724273,4766.03478267892,4733.19155626582
"freq_=g=5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
